Case Number,Year,Type,Country,Area,Location,Activity,Sex ,Age,Injury,Fatal (Y/N)
2015.07.22,2015,Unprovoked,REUNION,unknown,St. Leu,Surfing,M,45,Arm bitten,N
2015.07.23.a,2015,Unprovoked,AUSTRALIA,Victoria,Tyrendarra Beach near Portland,Surfing,M,40,Left hand bitten,N
2015.07.23.b,2015,Provoked,USA,California,"La Jolla, San Diego County",Kayak Fishing,M,31,No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT,N
2015.07.25,2015,Unprovoked,AUSTRALIA,Tasmania,"Lachan Island, Mercury Passage",Scallop diving on hookah,M,46,FATAL,Y
2015.07.26.a,2015,Invalid,USA,South Carolina,"Edisto Beach, Colleton County",Floating,F,35,"2' cut to dorsum of foot, 2 puncture wounds to sole",N
2015.07.26.b,2015,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,M,25,Minor injury to sole of foot,N
2015.07.27,2015,unknown,AUSTRALIA,Victoria,Tyrendarra Beach,Surfing,M,40,Injury to hand,unknown
2015.07.31,2015,Unprovoked,AUSTRALIA,New South Wales,Evans Head,Surfing,M,52,"Lacerations and puncture wounds to hip, thigh, arm and hand",N
2015.07-10,2015,Unprovoked,USA,California,"Huntington Beach, Orange County",Surfing,M,38,"No injury, shark bumped & damaged board",N
2015.08.10,2015,Provoked,USA,California,Cortes Bank,Spearfishing,M,57,Right hand bitten  PROVOKED INCIDENT,N
2015.08.18.a,2015,Invalid,SPAIN,Alicante,"Poniente Beach, Benidorm",Swimming,M,10,Minor injury when he attempted to touch a fish. ,N
2015.08.18.b,2015,Unprovoked,USA,California,Santa Barbara County,Kayak Fishing,M,22,"No injury, kayak bitten",N
2015.08.19,2015,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Walking,F,10,Lacerations to right leg,N
2015.08.20,2015,Unprovoked,USA,South Carolina,"Murrells Inlet, Georgetown County",Surfing,M,15,"Injuries to left calf, arm and hand",N
2015.08.22.a,2015,Unprovoked,AUSTRALIA,New South Wales,Lighthouse Beach,Surfing,M,38,Severe laceration to left buttock & thigh,N
2015.08.22.b,2015,Invalid,USA,Florida,"Cocoa Beach, Brevard  County",unknown,M,unknown,Wound to right lower leg,N
2015.08.29.a,2015,Unprovoked,USA,California,"Morro Bay, San Luis Obispo County",Surfing,M,21,"No injury, shark struk sufer's leg and his board",N
2015.08.29.b,2015,Unprovoked,USA,California,"Morro Strand State Beach, San Luis Obispo County",Surfing,F,54,"No injury, surfboard bitten",N
2015.09.00,2015,Unprovoked,FIJI,unknown,unknown,Spearfishing,M,unknown,Leg bitten,N
2015.09.01,2015,Unprovoked,THAILAND,Phuket,Karon Beach,Wading,F,37,Left foot & ankle bitten,N
2015.09.03,2015,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",unknown,M,unknown,Right foot bitten,N
2015.09.04,2015,Unprovoked,AUSTRALIA,New South Wales,Hallidays Point,Surf-skiing,M,62,Inuries to lower left leg & ankle,N
2015.09.05,2015,Provoked,USA,California,"Deer Creek Beach, Ventura County",Kayak Fishing,M,29,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,N
2015.09.06,2015,Unprovoked,USA,California,"El Pescador Beach, Los Angeles County",Stand-Up Paddleboarding,F,50,"No injury, shark struck board, tossing her into the sea",N
2015.09.08,2015,Unprovoked,AUSTRALIA,New South Wales,North Shelly Beach,Surfing,M,42,Minor laceration to hand,N
2015.09.17,2015,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Surfing,M,20,Injury to right foot,N
2015.09.18,2015,Unprovoked,USA,Florida,"Big Talbot Island, Duval County",Swimming,M,unknown,Lacerations to calf,N
2015.09.20.a,2015,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County",Photographing fish,M,16,Injury to right hand / wrist,N
2015.09.20.b,2015,Unprovoked,USA,Florida,"Fernandina Beach, Amelia Island, Nassau County",Wading,M,12,Significant injuries to leg,N
2015.09.20.c,2015,Unprovoked,USA,Hawaii,"Upolu Point, North Kohala, Big Island",Spearfishing,M,27,Severe laceration to left leg,N
2015.09.20.d,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,Minor injury to left ankle,N
2015.09.24,2015,Unprovoked,USA,California,"Horseshoe Rock, Santa Barbara County",Kayak fishing,M,unknown,"No injury, kayak damaged",N
2015.09.26,2015,Unprovoked,AUSTRALIA,Queensland,"Russel Island, Frankland Group",Snorkeling,F,7,Laceration to leg,N
2015.09.29,2015,Unprovoked,USA,Florida,"Vilano Beach, St.  Johns County",Surfing,M,22,"Laceration to heel, puncture wounds to dorsum of foot",N
2015.10.04,2015,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,Severe lacerations to left hand,N
2015.10.05.a,2015,Unprovoked,USA,Texas,Galveston,Wading,M,13,Foot & hands bitten,N
2015.10.05.b,2015,Unprovoked,USA,Florida,"Pepper Park Beach, St. Lucie County",Body boarding,M,22,2 lacerations to ankle,N
2015.10.07,2015,Unprovoked,AUSTRALIA,Western Australia,Pyramids Beach,Surfing,M,18,Foot injured,N
2015.10.08,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,"Maxixe, Inhambane Bay",Fishing,M,unknown,"Arm severely injured, surgically amputated",N
2015.10.09.a,2015,Unprovoked,USA,Hawaii,"Leftovers, Oahu",Surfing,M,25,"Left leg severed below the knee, defense injuries to left hand",N
2015.10.09.b,2015,Unprovoked,USA,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",Boogie boarding,F,9,Laceration to forearm,N
2015.10.13,2015,Boat,USA,California,"Off Leffingwell Landing, San Luis Obispo County",Kayak Fishing,M,unknown,"No injury, shark rammed kayak repeatedly",N
2015.10.17.a,2015,Unprovoked,USA,Hawaii,"Lanikai Beach, Kailua, Oahu",Swimming,M,44,Injuries to lower legs,N
2015.10.17.b,2015,Invalid,USA,Hawaii,"Waikiki, ",Surfing,M,32,Left foot bitten by eel,N
2015.10.17.c,2015,Unprovoked,MOZAMBIQUE,Inhambane Province,"Nahaduga, Inhambane Bay",Fishing for shrimp,F,35,FATAL,Y
2015.10.19,2015,Unprovoked,USA,Florida,"Deerfield Beach, Broward County",Surfing,M,21,Left foot bitten,N
2015.10.21,2015,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,21,Lacerations to left hand,N
2015.10.25,2015,Unprovoked,SOUTH AFRICA,Western Cape Province,Stil Bay,Surfing,M,42,"Lacerations to right calf, knee & hip",N
2015.10.28.a,2015,Unprovoked,USA,Hawaii,"Malaka, Oahu",Body boarding,M,10,"Lacerations & puncture wounds to right thigh, calf & ankle",N
2015.10.30,2015,Unprovoked,AUSTRALIA,Western Australia,Bald Island,Spearfishing,M,50,Minor injury,N
